"","GeneId","Descripcion","Ctrl0hr","Ctrl1hr","Encyst1hr","Ctrl4hr","Encyst4hr","Ctrl8hr","Encyst8hr"
"ACA1_322080","ACA1_322080","RNA recognition motif domain containing protein",68.61,76.16,36.39,82.19,51.22,77.3,53.16
"ACA1_322560","ACA1_322560","elongation factor Tu GTP binding domain containing protein",103.39,90.88,71.18,104.69,51.8,111.97,53.49
"ACA1_322570","ACA1_322570","Hsp40, putative",63.7,128.2,131.55,135.94,104.57,126.19,100.8
"ACA1_322580","ACA1_322580","calmodulin, putative",144.73,151.73,117.91,114.37,118.66,123.02,125.15
"ACA1_322690","ACA1_322690","thioredoxinlike 1, putative",219.93,212.46,748,208,337.66,195.33,258.49
"ACA1_322740","ACA1_322740","hypothetical protein",89.62,81.56,169.92,90.24,175.14,94.96,205.61
"ACA1_323130","ACA1_323130","HemolysinIII related subfamily protein",44.69,37.16,5.69,34.61,5.64,32.61,7.61
"ACA1_323150","ACA1_323150","cytochrome b5 domain containing protein",484.47,438.92,650.86,609.34,939.93,963.58,995.11
"ACA1_323170","ACA1_323170","Utp14 protein",43.5,45.53,0.3,45.66,0.48,44.96,1.31
"ACA1_323180","ACA1_323180","hypothetical protein",40.85,41.43,0.23,43.15,0.29,41.58,1.17
"ACA1_323360","ACA1_323360","eukaryotic translation initiation factor SUI1 family protein",179.54,188.58,67.19,160.3,59.92,155.44,57.42
"ACA1_323420","ACA1_323420","hypothetical protein",420.63,304.15,324.01,300.35,605.01,324.69,287.76
"ACA1_323510","ACA1_323510","hypothetical protein",232.86,18.37,512.61,208.53,132.75,208.07,313.42
"ACA1_324040","ACA1_324040","carrier superfamily protein",59.09,52.75,25.67,61.56,32.69,64.69,28.72
"ACA1_325100","ACA1_325100","calponin domain containing protein",87.74,86.12,79.87,85.53,83.63,89.56,83.66
"ACA1_325130","ACA1_325130","hypothetical protein",43.43,40.67,59.82,39.69,60.68,40.14,62.34
"ACA1_325150","ACA1_325150","Rab7/RabGfamily small GTPase",92.37,87.23,126.75,82.22,129.63,91.19,100.31
"ACA1_325160","ACA1_325160","Rab7/RabGfamily small GTPase",53.31,51.74,41.66,49.46,47.3,53.94,41.57
"ACA1_325170","ACA1_325170","AP3 complex subunit mu, putative",123.1,113.09,81.12,122.35,126.14,120.24,122.58
"ACA1_325180","ACA1_325180","ribonuclease L inhibitor family protein",265.01,290.97,108.93,287.88,110.91,299.11,106.29
"ACA1_325190","ACA1_325190","CCAATbox binding transcription factor subunit HAP3-related, putative",54.55,23.37,6.4,51.59,10.74,41.05,13.24
"ACA1_325230","ACA1_325230","MAPEG domain containing protein",64.48,50.6,19.48,57.11,27.5,55.34,39.18
"ACA1_325250","ACA1_325250","ribosomal protein L44, putative",4884.85,4768.61,3957.48,4365.83,3202.2,3859.83,3228.51
"ACA1_325310","ACA1_325310","hypothetical protein",45.21,48.56,13.23,48.65,12.55,67.69,17.15
"ACA1_325470","ACA1_325470","K+ channel tetramerisation subfamily protein",92.58,94.22,134.98,81.19,85.27,97.29,61.82
"ACA1_325510","ACA1_325510","actin bundling protein",450.91,612.73,496.26,395.71,312.97,393.55,107.75
"ACA1_325520","ACA1_325520","hypothetical protein",73.03,67.33,96.38,83.23,100.09,78.03,88.67
"ACA1_325560","ACA1_325560","solute carrier family protein",51.2,49.72,40.26,48.66,48.34,56.14,67.63
"ACA1_325730","ACA1_325730","kelch repeat protein",49.94,39.91,26.37,46.31,28.65,44.37,27.44
"ACA1_325740","ACA1_325740","hypothetical protein",87.06,54.9,52.05,99.75,86.04,95.89,78.45
"ACA1_325750","ACA1_325750","hypothetical protein",48.24,26.25,45.72,45.09,84.85,48.18,67.44
"ACA1_326110","ACA1_326110","alcohol dehydrogenase GroESlike domain containing protein",52.67,54.36,32.71,47.53,20.32,43.71,16.91
"ACA1_326120","ACA1_326120","glycogen synthase Gsy1, putative",63.82,48.66,55.27,74.47,26.01,77.4,18.6
"ACA1_326130","ACA1_326130","Ras subfamily protein",309.72,276.13,159.63,274.33,242.47,259.54,194.21
"ACA1_326140","ACA1_326140","ferric reductaselike protein",143.76,122.29,102.38,125.85,199.03,111.91,244.62
"ACA1_326180","ACA1_326180","eukaryotic translation initiation factor 5a-2, putative",208.74,114.1,3665.01,129.96,5670.98,333.77,3877.07
"ACA1_326200","ACA1_326200","hypothetical protein",53.04,38.55,24.12,38.33,29.57,47.72,27.64
"ACA1_326230","ACA1_326230","peptidylprolyl cis-trans isomerase, cyclophilin-type domain containing protein",98.78,89.47,32.16,100.87,19.34,96.93,20.66
"ACA1_326250","ACA1_326250","methyltransferase domain containing protein",100.21,92.16,98.63,95.72,106.15,93.53,110.64
"ACA1_326740","ACA1_326740","Myosin2 heavy chain, non muscle, putative",198.94,234.69,224.59,208.65,163.13,235.28,127.06
"ACA1_326800","ACA1_326800","RNA recognition motif domain containing protein",40.68,32.45,88.39,26.66,54.54,26.13,50.65
"ACA1_326820","ACA1_326820","eukaryotic ribosomal protein L18, putative",2895.11,3072.91,2366.61,3032.12,1637.57,3066.35,1657.24
"ACA1_326830","ACA1_326830","hypothetical protein",55.05,56.12,20.29,52.3,49.98,48.74,67.08
"ACA1_326870","ACA1_326870","FYVE zinc finger domain/Ankyrin repeatcontaining protein",85.26,74.88,63.34,99.07,76.96,102.63,69.63
"ACA1_327390","ACA1_327390","hypothetical protein",165.84,210.45,148.64,137.24,191.95,123.32,201.78
"ACA1_327700","ACA1_327700","hypothetical protein",156.67,32.23,350.09,204.37,131.02,260.41,229.22
"ACA1_327940","ACA1_327940","hypothetical protein",134.73,153.92,58.33,150.34,114.44,147.97,192.89
"ACA1_328640","ACA1_328640","Sec1 family protein",98.29,90.14,62.24,105.72,45.35,106.71,56.05
"ACA1_328760","ACA1_328760","3'(2'),5'bisphosphate nucleotidase",42.36,41.22,64.25,35.86,54.57,39.41,58.68
"ACA1_328780","ACA1_328780","Actin subfamily protein",270.35,277.8,492.07,382.05,342.86,539.66,198.5
"ACA1_328900","ACA1_328900","actin-1, putative",99.59,125.15,332.04,71.11,258.74,93.13,161.78
"ACA1_328920","ACA1_328920","actin, putative",377.04,452.18,1008.55,362.57,719.53,428.36,424.65
"ACA1_329330","ACA1_329330","hypothetical protein",137.74,134.83,148.98,139.89,170.12,148.11,132.25
"ACA1_329460","ACA1_329460","hypothetical protein",39.87,46.73,53.22,39.47,70.49,41.86,78.89
"ACA1_329470","ACA1_329470","oxysterolbinding protein-like protein 8 isoform b, putative",288.22,289.98,462.67,270.58,382.86,251.7,337.71
"ACA1_329480","ACA1_329480","hypothetical protein",65.96,71.07,78.9,44.13,74.22,51.13,51.06
"ACA1_329490","ACA1_329490","sitruin, putative",61.84,18.22,1.18,65.42,0.35,50.34,0.45
"ACA1_329510","ACA1_329510","paired amphipathic helix protein sin3, putative",94.36,96.66,61.99,100.79,87.08,114.18,102.82
"ACA1_329620","ACA1_329620","hypothetical protein",77.6,97.03,1.58,47.49,0.56,142.94,0.23
"ACA1_329700","ACA1_329700","electron transfer flavoprotein alphasubunit",303.69,311.08,270.89,299.16,292.76,286,325.42
"ACA1_329710","ACA1_329710","hypothetical protein",58.2,47.59,44.09,60.74,51.54,61.52,35.58
"ACA1_329820","ACA1_329820","transporter, major facilitator subfamily protein",111.6,103.95,36.98,113.7,66.65,115.92,77.04
"ACA1_330090","ACA1_330090","Kinesin motor domain containing protein",78.15,69.55,28.3,92.92,22.84,103.97,29.56
"ACA1_330350","ACA1_330350","SEP domain containing protein",98.75,99.46,212.73,83.96,91.22,80.97,91.91
"ACA1_330410","ACA1_330410","hypothetical protein",46.56,44.02,36.94,44.11,33.58,42.96,41.66
"ACA1_330420","ACA1_330420","Ca2+dependent endoplasmic reticulum nucleoside diphosphatase isoform 3, putative",57.22,50.2,41.74,39.61,66.62,43.94,95.41
"ACA1_330540","ACA1_330540","hypothetical protein",169.27,139.16,176.04,83.25,247.25,125.39,186.06
"ACA1_330550","ACA1_330550","Nucleoside-diphosphatase",41.35,43.5,6.27,32.38,11.05,32.29,13.5
"ACA1_330660","ACA1_330660","SNARE associated Golgi protein",87.67,72.44,31.18,65.27,61.39,62.61,71.94
"ACA1_331110","ACA1_331110","RAP1A, member of RAS oncogene family",146.5,123.78,304.14,104.59,284.73,111.55,276.45
"ACA1_331580","ACA1_331580","Erv1 / Alr family protein",57,63.97,52.02,73.83,108.94,76.98,152.57
"ACA1_331590","ACA1_331590","ATPdependent DNA helicase, RecQ subfamily protein",46.7,46.54,59.7,46.28,68.17,44.63,80.06
"ACA1_331710","ACA1_331710","Autophagy-related protein 27 protein",372.72,335.33,206.18,324.44,388.46,369.73,394.78
"ACA1_331720","ACA1_331720","GNS1/SUR4 family protein",54.41,75.28,7.32,65.27,7.53,49.78,2.8
"ACA1_332070","ACA1_332070","nucleolar gtpbinding protein 1, putative",97.6,122.05,42.44,103.43,76.59,129.19,86.84
"ACA1_332180","ACA1_332180","nucleolar gtp-binding protein 1 family protein",45.84,49.9,17.6,42.19,29.56,43.25,35.15
"ACA1_332310","ACA1_332310","amino acid permease",56.82,49.76,5.93,54.27,11.43,53.07,8.9
"ACA1_332590","ACA1_332590","endo1,3(4)-beta-glucanase",66.49,62.28,158.1,56.72,51.16,61.1,17.09
"ACA1_332940","ACA1_332940","hypothetical protein",100.65,69.05,110.58,75.09,102.84,98.43,68.94
"ACA1_333210","ACA1_333210","Factin-capping protein subunit beta, putative",618.39,586.69,808.05,549.97,809.43,536.15,580.7
"ACA1_333230","ACA1_333230","hypothetical protein",42.01,34.48,46.99,34.41,52.33,32.49,37.53
"ACA1_333250","ACA1_333250","hypothetical protein",67.66,48.63,184.75,63.49,202.51,63.91,206.18
"ACA1_333280","ACA1_333280","Gpatch domain containing protein",46.86,44.35,51.18,44.38,58.46,51.67,64.36
"ACA1_333350","ACA1_333350","uroporphyrinogen decarboxylase",82.89,81.53,10.5,81.04,15.46,74.01,16.64
"ACA1_333720","ACA1_333720","hypothetical protein",426.46,321.05,193.93,418.75,113.52,412.76,33.11
"ACA1_334070","ACA1_334070","hypothetical protein",45.64,44.2,25.64,41.24,29,42.43,35.22
"ACA1_334430","ACA1_334430","SNF, putative",42.71,45.78,36.04,45.9,29.09,52.8,30.82
"ACA1_334660","ACA1_334660","hypothetical protein",61.55,44.29,58.42,50.37,132.97,50.46,181.59
"ACA1_335890","ACA1_335890","hypothetical protein",105.42,105.64,32.26,126.04,35.11,131.51,53.92
"ACA1_335910","ACA1_335910","MxaD protein",516.7,480.26,329.12,485.26,372.79,500.56,240.55
"ACA1_335920","ACA1_335920","polyubiquitin, putative",380.09,264.55,1151.14,286.72,553.76,296.14,579.46
"ACA1_335930","ACA1_335930","hypothetical protein",119.22,118.15,188.32,111.21,195.65,100.13,226.79
"ACA1_336130","ACA1_336130","Filamin repeat domain containing protein",181.25,182.98,69.52,217.48,92,251.52,60.02
"ACA1_336370","ACA1_336370","actin-1, putative",621.36,691.07,1873.99,515.19,1106.85,630.87,568.13
"ACA1_336380","ACA1_336380","RasGEF domain containing protein",46.28,59.43,58.09,49.12,60,57.51,68.51
"ACA1_336860","ACA1_336860","glutathionedisulfide reductase",106.03,105.79,71.22,91.2,76.19,92.52,89.65
"ACA1_336890","ACA1_336890","hypothetical protein",139.37,88.06,156.71,120.53,224.97,140.16,332.86
"ACA1_337990","ACA1_337990","intracellular protease, PfpI family protein",195.17,199.95,369.59,174.16,350.79,166.68,362.47
"ACA1_338000","ACA1_338000","hypothetical protein",338.03,252.52,823.79,274.9,957.1,244.86,546.5
"ACA1_338050","ACA1_338050","ABC2 type transporter superfamily protein",40.78,53.46,0.11,42.58,0.04,40.55,0.05
"ACA1_338180","ACA1_338180","hypothetical protein",71.14,71.63,94.93,84.41,58.19,96.18,56.35
"ACA1_339890","ACA1_339890","plexin repeat domain containing protein",84.2,72.87,26.9,84.05,46.76,80.21,52.39
"ACA1_339900","ACA1_339900","hypothetical protein",56.57,50.15,30.98,47.7,33.96,44.66,33.15
"ACA1_340680","ACA1_340680","hypothetical protein",62.18,53.65,21.92,56.99,37.86,55.4,44.17
"ACA1_340900","ACA1_340900","isopentenyldiphosphate delta-isomerase",196.64,189.21,14.52,187.84,43.39,168.2,94.53
"ACA1_341030","ACA1_341030","CRAL/TRIO domain containing protein",137.35,143.36,182.12,122.95,197.82,134.01,215.27
"ACA1_341090","ACA1_341090","26S protease regulatory subunit 6a, putative",168.03,180.05,545.88,143.13,212.69,151.11,154.35
"ACA1_343180","ACA1_343180","RNA polymerase Rpb3/Rpb11 dimerization domain containing protein",110.66,122.25,4.91,103.6,7.16,95.13,9.77
"ACA1_343290","ACA1_343290","hypothetical protein",41.16,41.36,50.05,36.15,90.92,39.06,114.06
"ACA1_343310","ACA1_343310","NADH dehydrogenase, extrinsic, putative",134.4,248.46,39.92,136.59,1.21,158.59,0.95
"ACA1_344900","ACA1_344900","ABC-type branched-chain amino acid transport system, periplasmic component protein",106.34,78.73,150.92,74.63,140,101.99,127.59
"ACA1_346030","ACA1_346030","CHCH domain containing protein",177.12,228.5,144.33,267.53,190.56,230.23,226.46
"ACA1_346040","ACA1_346040","rasrelated protein Rab-7, putative",381.82,314.71,186.37,334.4,499.9,329.17,499.82
"ACA1_346860","ACA1_346860","hypothetical protein",76.94,36.38,105.64,21.9,95.24,43.49,120.82
"ACA1_346890","ACA1_346890","hypothetical protein",42.77,27.14,215.02,21.57,258.62,18.12,166.2
"ACA1_346910","ACA1_346910","RhoGEF domain containing protein",70.02,24.64,112.91,47.82,137.69,105.75,162.24
"ACA1_348980","ACA1_348980","3hydroxyanthranilate 3,4-dioxygenase",66.03,60.43,113.67,65.88,73.55,76.27,81.41
"ACA1_349090","ACA1_349090","3'5' exonuclease domain containing protein",98.2,97.39,177.81,64.48,117.2,76.64,126.86
"ACA1_349660","ACA1_349660","BAT1 protein",519.19,527.27,421.52,571.51,357.83,553.88,316.91
"ACA1_350600","ACA1_350600","hypothetical protein",549.89,480.7,360.07,553.74,935.18,456.61,923.84
"ACA1_351910","ACA1_351910","hypothetical protein",58.36,30.75,772.11,11.1,832.24,22.86,636.92
"ACA1_351920","ACA1_351920","von Willebrand factor type A domain containing protein",55.28,39.75,444.08,17.19,547.77,41.94,439.86
"ACA1_351930","ACA1_351930","hypothetical protein",100.2,100.67,7.06,120.02,8.35,107.92,9.26
"ACA1_352260","ACA1_352260","hypothetical protein",154.63,119.59,227.26,109.92,89.62,166.28,73.05
"ACA1_352400","ACA1_352400","glycosyl hydrolase domain containing protein",93.67,86.95,106.54,90.9,89.07,98.97,58.57
"ACA1_352420","ACA1_352420","Anamorsin, putative",162.05,151.36,54.97,168.08,59.65,137.7,58.78
"ACA1_352500","ACA1_352500","hypothetical protein",1126.59,1246.22,369.3,1308.32,162.24,1286.52,179.07
"ACA1_355360","ACA1_355360","transporter, major facilitator subfamily protein",61.02,38.83,38.82,56.43,9.53,60.95,5.7
"ACA1_355850","ACA1_355850","methionine aminopeptidase, type I, putative",156.63,172.76,77.44,167.96,75.53,170.18,94.35
"ACA1_356150","ACA1_356150","LA virus GAG protein N-acetyltransferase",56.95,51.32,18.56,49.81,13.68,50.03,10.81
"ACA1_356170","ACA1_356170","hypothetical protein",541.63,119.32,4.71,568.43,3.78,438.33,9.3
"ACA1_356190","ACA1_356190","ADP/ATP carrier protein",44.66,46.98,53.7,47.53,80.04,49.69,119.66
"ACA1_356420","ACA1_356420","hypothetical protein",124.22,27.73,0.91,141.06,0.59,106.06,2.06
"ACA1_356770","ACA1_356770","ribonucleosidetriphosphate reductase, adenosylcobalamin-dependent, putative",54.27,51.64,9.39,68.43,20.88,73.86,28.94
"ACA1_357480","ACA1_357480","F-box domain containing protein",68.35,46.56,50.75,57.74,9.4,67.24,5.85
"ACA1_357490","ACA1_357490","Erg28 family protein",52.19,49.12,37.01,53.31,46.19,43.05,51.05
"ACA1_357960","ACA1_357960","alternative oxidase isoform A, putative",82.06,90.23,27.12,111.67,8.55,134.35,5.2
"ACA1_358270","ACA1_358270","pyridine nucleotidedisulfide oxidoreductase domain containing protein",121.86,208.1,36.1,122.64,0.8,141.08,0.4
"ACA1_358380","ACA1_358380","hypothetical protein",259.39,230.71,54.38,260.93,57.32,244.34,64.6
"ACA1_358620","ACA1_358620","Sel1like, putative",91.44,63.2,62.63,72.81,51.6,90.99,74.77
"ACA1_358650","ACA1_358650","ubiquitin carboxylterminal hydrolase L5, putative",101.7,101.33,162.05,93.11,143.91,87.94,157.78
"ACA1_359020","ACA1_359020","HpcH/HpaI aldolase/citrate lyase subfamily protein",68.74,67.14,52.66,65.11,44.66,61.15,34.79
"ACA1_359580","ACA1_359580","EGFlike domain containing protein",529.78,340.19,195.54,586.12,116.89,663.7,59.05
"ACA1_359590","ACA1_359590","hypothetical protein",42.03,38.63,67.15,38.73,53.28,39.71,57.08
"ACA1_359700","ACA1_359700","ERp19 domain containing protein",182.17,168.07,268.88,168.15,521.43,197.1,512.05
"ACA1_359710","ACA1_359710","transcriptional repressor TUP1, putative",101.83,78.39,95.22,103.68,102.21,95.22,108.03
"ACA1_359740","ACA1_359740","hypothetical protein",95.01,104.42,177.39,87.64,181.38,89.75,146.66
"ACA1_359750","ACA1_359750","succinyl coenzyme A synthetase alpha subunit",295.83,302.66,197.58,362.62,198.11,394.61,232.26
"ACA1_360010","ACA1_360010","tubulin binding cofactor A, putative",104.34,64.55,79.95,128.15,125.72,99.53,174.04
"ACA1_360040","ACA1_360040","ribosomal protein S8e, putative",135.92,149.46,3.31,113.79,5.6,88.96,8.02
"ACA1_360050","ACA1_360050","zinc finger domain containing protein",122.04,118.54,113.71,134.79,70.71,118.15,75.57
"ACA1_360120","ACA1_360120","hypothetical protein",4821.9,5317.59,7556.43,5672.2,10917.3,4520.93,9861.72
"ACA1_360150","ACA1_360150","malate synthase A, putative",43.17,35.17,40.06,40.94,54.85,36.87,59.62
"ACA1_360160","ACA1_360160","adenine phosphoribosyltransferase",101.78,102.31,70.05,82.06,97.22,76.43,103.61
"ACA1_360190","ACA1_360190","amine oxidase, flavincontaining superfamily protein",109.99,101.63,70.21,163.21,127.74,257.34,141.36
"ACA1_360200","ACA1_360200","60s Acidic ribosomal protein",5179.33,5262.69,3926.36,5077.22,3383.71,4833.28,2945.78
"ACA1_360220","ACA1_360220","H/ACA ribonucleoprotein complex subunit 2like protein",1103.21,1237.47,210.92,1025.09,158.15,887,162.16
"ACA1_360260","ACA1_360260","SMP30/CGR1 family protein",71.68,54.68,37.82,57.53,14.08,46.59,7.57
"ACA1_360290","ACA1_360290","singlestrand binding protein family",189.5,199.44,100.68,204.7,93.7,203.77,91.69
"ACA1_360300","ACA1_360300","3' exoribonuclease family, domain 1 domain containing protein",56.33,56.24,14.4,53.3,18.47,53.91,19.99
"ACA1_360520","ACA1_360520","Ras GTPase, putative",43.19,36.11,46.78,51.05,49.44,45.47,31.69
"ACA1_360590","ACA1_360590","hypothetical protein",158.18,121.51,268.75,140.84,181.63,149.27,168.61
"ACA1_360600","ACA1_360600","hypothetical protein",53.92,37.3,124.64,50.8,71.04,77.76,54.9
"ACA1_360640","ACA1_360640","hypothetical protein",81.44,75.25,25.86,76.99,45.69,67.44,67.65
"ACA1_360900","ACA1_360900","Eukaryotic translation initiation factor 3 subunit 7 (eIF3)",217.01,240.2,52.77,225.37,53.55,237.86,55.65
"ACA1_360910","ACA1_360910","hypothetical protein",89.51,101.35,8.19,112.23,5.93,110.22,8.27
"ACA1_360920","ACA1_360920","La domain containing protein",68.89,75.53,5.85,83.75,4.03,83.73,4.61
"ACA1_360960","ACA1_360960","2amino-3-ketobutyrate coenzyme A ligase",56.59,52.22,30.23,47.98,64.96,46.83,89.14
"ACA1_361020","ACA1_361020","ribosomal L22e protein family",1291.23,1192.96,868.37,1285.87,665.67,1117.22,641.02
"ACA1_361040","ACA1_361040","aminotransferase, class I/II superfamily protein",64.88,53.56,18.31,65.14,21.02,67.11,20.46
"ACA1_361100","ACA1_361100","TLD protein",51.03,52.44,51.09,46.35,89.64,49.36,108.73
"ACA1_361140","ACA1_361140","copper/zinc superoxide dismutase",43.23,45.83,26.25,42.07,63.51,45.13,124.21
"ACA1_361160","ACA1_361160","adenylsulfate kinase",97.29,103.49,28.79,73.73,39.51,74.47,41.36
"ACA1_361250","ACA1_361250","actin-1, putative",2189.93,2153.36,2696.2,2428.14,1911.01,3013.81,1031.17
"ACA1_361260","ACA1_361260","Brix domain containing 2, putative",157.31,188.16,1.25,158.47,1.77,139.15,3.12
"ACA1_361280","ACA1_361280","NADdependent epimerase/dehydratase family protein",118.64,121.85,47.84,100.9,59.73,88.05,46.13
"ACA1_361290","ACA1_361290","zinc finger domain containing protein",72.59,76.33,61.12,69.55,78.09,63.23,85.66
"ACA1_361770","ACA1_361770","hypothetical protein",64.37,56.98,60.66,68.81,38.17,75.61,35.91
"ACA1_362100","ACA1_362100","hypothetical protein",43.8,43.78,0.26,38.08,0.5,32.18,0.66
"ACA1_362120","ACA1_362120","PhzF family phenazine biosynthesis protein",64.76,59.04,51.19,56.88,59.19,48.33,66.53
"ACA1_362140","ACA1_362140","hypothetical protein",659.8,1165.26,111.69,796.1,19.82,904.62,24.57
"ACA1_362300","ACA1_362300","hypothetical protein",573.54,385.25,380.36,850.21,126.78,1013.39,128.08
"ACA1_362500","ACA1_362500","hypothetical protein",68.25,35.35,129.85,44.93,88.76,67.22,69.47
"ACA1_362510","ACA1_362510","EF hand domain containing protein",239.54,260.01,385.58,247.6,329.53,265.86,311.98
"ACA1_362580","ACA1_362580","Cofilin/tropomyosin-type actin-binding protein",520.31,588.19,861.44,465.01,661.43,486.56,641.18
"ACA1_362640","ACA1_362640","Gar1 protein RNA binding region protein",220.76,248.4,40.9,199.63,6.56,213.84,6.47
"ACA1_362690","ACA1_362690","WD domain containing protein",54.6,58.79,5.9,48.15,10.28,40.82,14.04
"ACA1_362730","ACA1_362730","ankyrin domain protein",257.47,238.27,263.13,217.5,208.58,206.57,167.65
"ACA1_363740","ACA1_363740","hypothetical protein",154.46,144.56,158.3,150.04,146.7,140.05,127.99
"ACA1_363770","ACA1_363770","hypothetical protein",76.22,68.53,77.4,67.05,100.2,59.86,117.84
"ACA1_363780","ACA1_363780","Vtype ATPase, D subunit",556.09,514.86,222.33,499.42,582.65,468.05,862.21
"ACA1_363830","ACA1_363830","ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein",74.44,72.67,142.6,62.24,174.23,58.64,187.04
"ACA1_363940","ACA1_363940","GAF sensor hybrid histidine kinase",68.82,65.15,117.96,57.11,138.91,54.87,151.56
"ACA1_364230","ACA1_364230","hypothetical protein",68.54,70.04,106.84,60.77,104.26,58.82,96.84
"ACA1_364250","ACA1_364250","3' exoribonuclease family, domain 1 domain containing protein",52.23,65.02,6.53,52,9.62,53.64,14.19
"ACA1_364260","ACA1_364260","hypothetical protein",44.64,53.34,46.52,38.74,61.27,55.46,59.33
"ACA1_364270","ACA1_364270","DTW domain containing 1, putative",56.63,52.78,16.57,49.53,27.4,55.56,28.88
"ACA1_364280","ACA1_364280","sporulation proteinrelated, putative",262.08,368.84,179.78,166.31,102.69,213.97,60.91
"ACA1_364300","ACA1_364300","hypothetical protein",69.66,92.84,15.93,58.97,5.65,49.42,3.54
"ACA1_364310","ACA1_364310","aldehyde dehydrogenase",140.79,153.49,57.9,168.57,12.96,186.39,23.01
"ACA1_364340","ACA1_364340","hypothetical protein",398.07,460.52,492.19,349.44,452.66,410.69,430.07
"ACA1_364370","ACA1_364370","glutathione transferase family protein",69.08,62.28,60.53,58.85,59.3,54.15,61.42
"ACA1_364390","ACA1_364390","ribosomal L27e protein family",5623,5969.96,5314.44,5436.28,4824.98,5401.51,4659.04
"ACA1_364420","ACA1_364420","ribosomal protein s30 protein",7682.9,7677.98,6152.76,7006.35,8194.05,6126.19,8867.99
"ACA1_364440","ACA1_364440","hypothetical protein",85.52,62.97,59.31,82.54,59.85,80.52,68.05
"ACA1_364450","ACA1_364450","acetyltransferase, GNAT superfamily protein",99.84,80.92,71.33,105.41,66.07,129.35,78.85
"ACA1_364720","ACA1_364720","Sas10/Utp3/C1D family protein",89.84,94.99,0.97,83.5,4.25,75.7,12.8
"ACA1_364730","ACA1_364730","histone L3 H2a, putative",1511.79,810.69,141.74,1706.61,44.97,1161.64,67.6
"ACA1_364740","ACA1_364740","Yip1 domain containing protein",124.27,101.88,111.12,90.69,139,93.6,150.32
"ACA1_364780","ACA1_364780","lung seven transmembrane receptor protein",42.27,40.1,36.2,44.43,34.48,46.46,43.5
"ACA1_365020","ACA1_365020","hypothetical protein",47.92,54.12,51.7,56.28,65.3,48.87,91.42
"ACA1_365090","ACA1_365090","ADPribosylglycohydrolase superfamily protein",46.99,46.5,28.9,35.92,18.68,38.46,14.03
"ACA1_365100","ACA1_365100","U3 small nucleolar RNA-associated protein 6 protein",56.93,59.47,1.27,55.28,3.08,50.07,4.52
"ACA1_365330","ACA1_365330","hypothetical protein",301.86,297.59,178.85,274.9,206.55,259.72,236.17
"ACA1_365340","ACA1_365340","hypothetical protein",161.13,156.56,33.53,169.34,48.51,163.73,61.47
"ACA1_365720","ACA1_365720","26S proteasome AAAATPase subunit RPT2a, putative",167.66,175.71,636.77,138.4,253.54,143.88,168.83
"ACA1_365760","ACA1_365760","glutathione peroxidase Hyr1, putative",82.77,103.38,126.25,66.25,78.1,75.67,111.56
"ACA1_365780","ACA1_365780","ribosomal protein S4, putative",5536.01,5708.42,4736.58,5339.1,3445.72,5325.34,3231.6
"ACA1_365810","ACA1_365810","Hypothetical protein",72.55,63.04,134.92,52.83,176.96,56.29,206.05
"ACA1_365850","ACA1_365850","hypothetical protein",576.84,574.42,267.25,498.65,396.2,485.08,433.49
"ACA1_366090","ACA1_366090","RNA polymerase III subunit RPC82 helixturn-helix domain containing protein",48.87,43.98,25.48,43.34,29.89,43.32,32.79
"ACA1_366110","ACA1_366110","MPPN (rrmlike) domain containing protein",56.93,40.57,31.42,58.63,30.91,49.87,40.64
"ACA1_366250","ACA1_366250","oxidoreductase, short chain dehydrogenase/reductase superfamily protein",79.6,70.73,119.57,70.41,79.24,66.08,60.2
"ACA1_366300","ACA1_366300","peptidylprolyl cis-trans isomerase e, ppie, putative",91.49,76.86,55.83,73.64,45.96,62.75,39.76
"ACA1_366310","ACA1_366310","reticulon protein",215.86,207.19,206.98,222.84,141.41,254.78,132.53
"ACA1_366330","ACA1_366330","hypothetical protein",679.54,346.98,287.77,689.19,336.83,535.14,386.57
"ACA1_366350","ACA1_366350","MTA70 family protein",42.58,16.08,0.97,42.03,1.76,32.74,3.69
"ACA1_366360","ACA1_366360","hypothetical protein",101.63,106.88,12.5,91.22,20.64,72.51,25.18
"ACA1_366430","ACA1_366430","fumarate hydratase",74.78,73.16,21.02,88.12,11.36,90.5,12.14
"ACA1_366460","ACA1_366460","dynactin subunit 6, putative",48.42,49.01,44.36,37.98,51.38,39.2,59.6
"ACA1_366480","ACA1_366480","protein kinase domain containing protein",176.75,161.14,147.92,145.32,184.72,146.7,160.17
"ACA1_366500","ACA1_366500","nuclear transport factor 2 (ntf2) domain containing protein",44.15,39.1,23.39,39.04,25.38,36.79,27.41
"ACA1_366550","ACA1_366550","Ras subfamily protein",294.66,339.85,1540.28,258.01,2117.4,262.49,2125.25
"ACA1_366610","ACA1_366610","DNAbinding protein HU superfamily protein",525.46,450.13,428.64,516.95,537.72,465.87,593.06
"ACA1_366680","ACA1_366680","aspartyl aminopeptidase",98.87,89.89,117.98,100.64,112.68,90.01,140.61
"ACA1_366690","ACA1_366690","aspartyl aminopeptidase",122.86,117.49,161.87,140.81,147.45,136.07,185.01
"ACA1_366720","ACA1_366720","Calmodulin, putative",104.95,88.44,119.86,37.03,128.17,45.2,93.7
