"","PDescription","TPM_Basal"
"10815","serpin (serine proteinase inhibitor) superfamily protein",14.67
"10816","hypothetical protein",0.21
"10817","hypothetical protein",19.5
"10818","elongation factor 1, putative",61.8
"10819","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12, putative",219.31
"10820","hypothetical protein",18.86
"10821","Psf1 family protein",18.6
"10822","hypothetical protein",7.93
"10823","Platelet-activating factor acetylhydrolase, plasma/intracellular isoform II protein",9.51
"10824","BRCA1 C Terminus (BRCT) domain containing protein",5.36
"10825","WD domain, G-beta repeat-containing protein",1.39
"10826","aldose 1epimerase subfamily protein",13.71
"10827","esterase, PHB depolymerase subfamily protein",16.19
"10828","enoylCoA hydratase/isomerase family domain containing protein",91.46
"10829","MORN repeatcontaining protein",28.19
"10830","hypothetical protein",5.94
"10831","leucine rich repeat domain containing protein",10.05
"10832","base excision DNA repair protein, HhHGPD subfamily protein",21.54
"10833","hypothetical protein",209.72
"10834","transducin (beta) family 1X-linked, putative",11.03
"10835","leucine rich repeat domain containing protein",11.27
"10836","hypothetical protein",12.56
"10837","PH domain containing protein",0.04
"10838","Saposin family type B, region 1 protein",28.28
"10839","DNA polymerase I domain containing protein",5.04
"10840","hypothetical protein",2.65
"10841","peroxisomal 2,4dienoyl-coa reductase",38.43
"10842","protein kinase domain containing protein",30.09
"10843","hypothetical protein",54.58
"10844","tetratricopeptide repeat domain containing protein",63.79
"10845","ribosomal protein S8e, putative",2975.82
"10846","hypothetical protein",15.56
"10847","polymerase (DNA directed), delta 1, catalytic subunit",11.04
"10848","glycogen synthase kinase 3 alpha, putative",92.66
"10849","hypothetical protein",98.84
"10850","RasGEF domain containing protein",4.91
"10851","hypothetical protein",3.28
"10852","ankyrin repeat-containing protein",39.56
"10853","protein of function, putative",4.41
"10854","HemolysinIII related subfamily protein",16.85
"10855","Ham1 family",27.17
"10856","Fbox domain containing protein",92.72
"10857","protein kinase domain containing protein",13.09
"10858","hypothetical protein",17.65
"10859","MORN repeatcontaining protein",13.73
"10860","hypothetical protein",11.14
"10861","Ras GTPase activation domain containing protein",0.8
"10862","hypothetical protein",2.6
"10863","ATPase, AAA domain containing protein",1.99
"10864","hypothetical protein",24.39
"10865","GTPaseactivator protein for Ras-like GTPase",1.36
"10866","GTPase-activator protein for Ras family GTPase",3.04
"10867","hypothetical protein",0.03
"10868","hypothetical protein",0.01
"10869","Ras gtpase-activating family protein",0.04
"10870","RasGEF domain containing protein",9.75
"10871","integral membrane protein duf6 domain containing protein",3.22
"10872","RhoGEF domain containing protein",16.79
"10873","methionineR-sulfoxide reductase",47.78
"10874","Myblike DNA-binding domain containing protein",0.27
"10875","Ubox domain containing protein",15.34
"10876","Ubox domain containing protein",2.91
"10877","Lysyl oxidase protein",1.12
"10878","DnaJ domain containing protein",7.09
"10879","hypothetical protein",41.56
"10880","hypothetical protein",11.68
"10881","hypothetical protein",4.79
"10882","hypothetical protein",6.27
"10883","Protein P80, putative",226.29
"10884","hypothetical protein",24.48
"10885","hypothetical protein",311.94
"10886","hypothetical protein",2.59
"10887","hypothetical protein",5.88
"10888","churchill domain containing 1, putative",75.09
"10889","hypothetical protein",7.42
"10890","hypothetical protein",8.84
"10891","hypothetical protein",43.21
"10892","hypothetical protein",21.33
"10893","hypothetical protein",11.25
"10894","U1 zinc finger protein",38.21
"10895","tetratricopeptide repeat domain containing protein",21.27
"10896","RhoGAP domain containing protein",1.93
"10897","antioxidant, AhpC/TSA superfamily protein",6.72
"10898","FFD and TFG box motifscontaining protein",99.69
"10899","type I phosphodiesterase/nucleotide pyrophosphatase family protein",18
"10900","hypothetical protein",13.16
"10901","hypothetical protein",21.39
"10902","DnaJ domain containing protein",12.23
"10903","CDC45 like protein",6.45
"10904","DNA polymerase epsilon subunit B protein",20.64
"10905","WD domain, G-beta repeat-containing protein",39.29
"10906","hypothetical protein",0.01
"10907","hypothetical protein",4.71
"10908","Raslike protein 1, putative",46
"10909","DEAD/DEAH box helicase",5.34
"10910","hypothetical protein",4.48
"10911","cupin superfamily protein",63.07
"10912","RAB11B protein, putative",248.96
"10913","membrance occupation and recognition nexus protein 1, putative",0.1
"10914","aspartate carbamoyltransferase",2.14
"10915","hypothetical protein",0.66
"10916","intersectin 2, putative",21.21
"10917","hypothetical protein",55.92
"10918","FHA domain containing protein",10.88
"10919","FCP1like phosphatase, phosphatase subfamily protein",12.52
"10920","hypothetical protein",14.93
"10921","Krr1 family protein",21.01
"10922","eukaryotic translation initiation factor 2alpha kinase 1, putative",8.34
"10923","hypothetical protein",3.62
"10924","glutathione Stransferase domain containing protein",83.16
"10925","GTPase activating Rap/RanGAP domainlike 3, putative",10.22
"10926","hypothetical protein",8.94
"10927","Rasrelated GTP binding B long isoform isoform 1, putative",38.11
"10928","hypothetical protein",17.58
"10929","hypothetical protein",22.35
"10930","SCF ubiquitin ligase complex protein SKP1a, putative",33.8
"10931","hypothetical protein",18.72
"10932","hypothetical protein",23.97
"10933","ubiquitin carboxyl-terminal hydrolase",60.04
"10934","phosphate ABC transporter, phosphatebinding protein PstS, putative",0.09
"10935","4hydroxyphenylpyruvate dioxygenase",654.46
"10936","hypothetical protein",11.65
"10937","hypothetical protein",1138.59
"10938","Tcomplex protein 1, delta subunit",165.95
"10939","Exportin 1like protein",13.23
"10940","PB1 domain containing protein",60.67
"10941","serine/threonine protein kinase, putative",0.75
"10942","hypothetical protein",0.3
"10943","hypothetical protein",241.43
"10944","hypothetical protein",37.12
"10945","hypothetical protein",12.43
"10946","rubisco lsmt substrate-binding protein",7.12
"10947","hypothetical protein",123.03
"10948","u6 snrnaassociated sm-like protein lsm8, putative",90.67
"10949","aminoacyltRNA hydrolase",11.74
"10950","SET domain containing protein",15.34
"10951","ABC transporter, ATPbinding domain containing protein",57.62
"10952","ABC transporter, ATPbinding domain containing protein",25.75
"10953","hypothetical protein",5.61
"10954","Der1like domain family, member 1, putative",38.07
"10955","calponin domain containing protein",5.51
"10956","carboxypeptidase A3, putative",60.76
"10957","hypothetical protein",6.37
"10958","BTB/POZ domain containing protein",20.4
"10959","glutamate-ammonia ligase",39.78
"10960","hypothetical protein",15.66
"10961","RasGEF domain containing protein",6.3
"10962","short chain dehydrogenase, putative",56.29
"10963","hypothetical protein",11.23
"10964","DENN (AEX3) domain containing protein",7.75
"10965","RNA recognition motif domain containing protein",849.88
"10966","Hypothetical protein",161.89
"10967","NHL repeat-containing protein",16.26
"10968","protein kinase domain containing protein",15.88
"10969","hypothetical protein",9.54
"10970","RhoGAP domain containing protein",12.38
"10971","copper binding protein, plastocyanin/azurin superfamily protein",58.17
"10972","hypothetical protein",17.25
"10973","hypothetical protein",3.27
"10974","oxidoreductase NADbinding domain containing protein",2.06
"10975","apolipoprotein AI binding protein",13.19
"10976","proteinbinding protein",52.2
"10977","glycosyltransferase, MGT subfamily protein",12.46
"10978","SAP domain containing protein",4.16
"10979","hypothetical protein",2.73
"10980","haloacid dehalogenaselike hydrolase domain containing protein",35.97
"10981","hypothetical protein",6.73
"10982","hypothetical protein",3.21
"10983","hypothetical protein",0.01
"10984","chaperone protein DnaJ, putative",56.76
"10985","MORN repeat-containing protein",10.62
"10986","Fbox domain containing protein",12.53
"10987","arsenite transporter, putative",62.13
"10988","hypothetical protein",0.05
"10989","hypothetical protein",0.06
"10990","hypothetical protein",0.03
"10991","cytochrome p450 superfamily protein",5.66
"10992","hypothetical protein",3.22
"10993","dioxygenase subfamily protein",0.1
"10994","hypothetical protein",12.98
"10995","hnRNPL/PTB/hephaestus splicing factor subfamily protein",92.36
"10996","ribonuclease III, putative",3.98
"10997","TAF9 RNA polymerase II, TATA box binding protein (TBP)associated factor, putative",8.56
"10998","exosome complex exonuclease rrp41, putative",33.39
"10999","hypothetical protein",16.63
"11000","WRKY DNA -binding domain containing protein",54.26
"11001","ankyrin repeat-containing protein",4.83
"11002","hypothetical protein",33.17
"11003","hypothetical protein",53.09
"11004","hypothetical protein",68.23
"11005","DUF89 domain protein",14.37
"11006","hypothetical protein",63.57
"11007","hypothetical protein",0.07
"11008","PUA domain containing protein",22.64
"11009","ribosomal RNA large subunit methyltransferase J, putative",16.5
"11010","Sumo domain-containing protein",173.48
"11011","GTPase of unknown function subfamily protein",21.54
"11012","ribosomal protein S11, putative",3472.64
"11013","20S proteasome subunit beta 3, putative",131.44
"11014","proteasome (prosome, macropain) 26S subunit, nonATPase, 6, putative",78.01
"11015","ribulosephosphate 3-epimerase",164.65
"11016","Dual specificity protein kinase shkC, putative",14.33
"11017","Ubiquitin carboxylterminal hydrolase 15, putative",58.09
"11018","RFX DNAbinding domain containing protein",11.46
"11019","hypothetical protein",28.39
"11020","nucleoporin interacting component protein",28.81
"11021","prohibitin PHB1, putative",439.35
"11022","HMG (high mobility group) box domain containing protein",127.58
"11023","Ras family protein",6.92
"11024","hypothetical protein",0.04
"11025","Kazaltype serine protease inhibitor domain containing protein",0.03
"11026","macro domain containing protein",77.24
"11027","Kazaltype serine protease inhibitor domain containing protein",23.06
"11028","DNAdirected RNA polymerase II subunit rpb4, putative",257.38
"11029","mitochondrion biogenesis protein (Mdm31), putative",25.27
"11030","RNA recognition motifdomain containing protein",24.86
"11031","ribosomal protein L24e, putative",781.69
"11032","ABC2 type transporter superfamily protein",80.07
"11033","ATPase, AAA domain containing protein",0.14
"11034","Nop14 family protein",12.86
"11035","hypothetical protein",8.97
"11036","zinc metalloproteinase STE24, putative",14.51
"11037","hypothetical protein",23.25
"11038","hypothetical protein",1.4
"11039","gammaglutamyltransferase",13.17
"11040","FERM central domain containing protein",7.54
"11041","ATPase/histidine kinase/DNA gyrase B/HSP90 domain containing protein",7.58
"11042","MHCK/EF2 kinase domain containing protein",13.74
"11043","ATPase, AAA domain containing protein",0.16
"11044","lipase",2.71
"11045","MORN repeatcontaining protein",0.38
"11046","zinc finger, C3HC4 type (RING finger) domain containing protein",11.81
"11047","Dehydrogenase/reductase (SDR family) member 1, putative",0.36
"11048","hypothetical protein",3.06
"11049","hypothetical protein",0.02
"11050","zinc knuckle domain containing protein",2.07
"11051","Polyprotein, putative",0.02
"11052","hypothetical protein",8.94
"11053","hypothetical protein",4.19
"11054","hypothetical protein",0.39
"11055","NLI interacting factor family phosphatase",6.24
"11056","SH3 domain containing protein",0.36
"11057","regulator of g protein signaling domain containing protein",0.04
"11058","hypothetical protein",1.47
"11059","regulator of g protein signaling domain containing protein",8.62
"11060","NADH:ubiquinone oxidoreductase 24 kDa subunit",213.51
"11061","protein phosphatase 2C domain containing protein",5.5
"11062","hypothetical protein",7.99
"11063","hypothetical protein",4.71
"11064","autophagocytosis associated protein, cterminal domain containing protein",27.68
"11065","cullin 1, putative",29.33
"11066","hypothetical protein",85.15
"11067","TBC domain containing protein",48.7
"11068","ABC transporter related, putative",29.46
"11069","Ras subfamily protein",5.66
"11070","RhoGEF domain containing protein",12.81
"11071","ribosomal protein S17, putative",1884.29
"11072","Tcomplex protein 1, epsilon subunit",302.19
"11073","branched-chain alpha-KETO ACID decarboxylase E1 beta subunit, putative",202.23
"11074","Serine/threonineprotein kinase bud32, putative",38.18
"11075","hypothetical protein",16.94
"11076","hypothetical protein",4.7
"11077","hypothetical protein",0.87
"11078","hypothetical protein",0.68
"11079","hypothetical protein",0.23
"11080","hypothetical protein",8.43
"11081","hypothetical protein",6.32
"11082","hypothetical protein",7.87
"11083","Fbox domain containing protein",13.15
"11084","PB1 domain containing protein",199.87
"11085","hypothetical protein",7.16
"11086","Peroxisomal biogenesis factor 22, putative",20.41
"11087","ubiquitin specific peptidase 16, putative",13.57
"11088","zinc knuckle domain containing protein",23.87
"11089","hypothetical protein",53.85
"11090","hypothetical protein",16.02
"11091","AMP-dependent synthetase and ligase",219.18
"11092","hypothetical protein",9.09
"11093","hypothetical protein",19.92
"11094","hypothetical protein",1.61
"11095","hypothetical protein",1.8
"11096","hypothetical protein",0.01
"11097","hypothetical protein",12.33
"11098","hypothetical protein",25
"11099","Myblike DNA-binding domain containing protein",15.22
"11100","transcription elongation factor SII, hS-II-T1 isoform 8, putative",28.29
"11101","hypothetical protein",27.77
"11102","Vps51/Vps67 protein",16.88
"11103","Hypothetical protein",74.87
"11104","queuine trnaribosyltransferase subfamily protein",17.19
"11105","hypothetical protein",49.84
"11106","cytohesin 2, putative",15.55
"11107","hypothetical protein",0.04
"11108","PCI domain containing protein",94.7
"11109","Ulp1 protease family, Cterminal catalytic domain containing protein",21.91
"11110","hypothetical protein",0.4
"11111","phosphatidylserine decarboxylase",20.54
"11112","CTP:ethanolaminephosphate cytidylyltransferase",261.62
"11113","rhodaneselike domain containing protein",188.92
"11114","hypothetical protein",144.9
"11115","hypothetical protein",144.73
"11116","calponin domain containing protein",12.69
"11117","AP-1 complex subunit sigma-2, putative",106.57
"11118","hypothetical protein",44.15
"11119","homeobox domain containing protein",0.71
"11120","Arl5family small GTPase",133.57
"11121","RNA binding domain containing protein",20.98
"11122","DC2like protein",205.51
"11123","Ribosome biogenesis protein",72.86
"11124","Ankyrin repeatcontaining protein",61.08
"11125","acidstable alpha-amylase",46.99
"11126","membrane transporter, putative",18.22
"11127","peptidylprolyl cis-trans isomerase, FKBP-type domain containing protein",127.64
"11128","Heparan-alpha-glucosaminide N-acetyltransferase",22.48
"11129","Nacetyltransferase",22
"11130","small nuclear ribonucleoprotein Sm D1, putative",273.41
"11131","hypothetical protein",20.64
"11132","hypothetical protein",35.54
"11133","hypothetical protein",18.9
"11134","hypothetical protein",0.48
"11135","RhoGAP domain containing protein",8.47
"11136","RhoGEF domain containing protein",27.9
"11137","hypothetical protein",383.41
"11138","Membranebound O-acyltransferase domain containing protein 2, putative",35.45
"11139","hypothetical protein",6.64
"11140","ABC2 type transporter superfamily protein",1.78
"11141","solute carrier family protein",28.95
"11142","guanine nucleotide-binding protein alpha-5 subunit, putative",33.3
"11143","6phosphogluconolactonase",95.04
"11144","hypothetical protein",43.34
"11145","RNA recognition motif domain containing protein",0.01
"11146","leucine rich repeat domain containing protein",9.95
"11147","helicase associated domain containing protein",0.22
"11148","hypothetical protein",0.07
"11149","Hypothetical protein",16.92
"11150","Hypothetical protein",29.12
"11151","GDPmannose pyrophosphorylase",172.62
"11152","plant auxinresponsive GH3-like protein",11.97
"11153","trypsin domain containing protein",14.23
"11154","hypothetical protein",10.68
"11155","core histone h2a/h2b/h3/h4 superfamily protein",26.83
"11156","ureidopropionase, beta, putative",76.06
"11157","RasGEF domain containing protein",6.31
"11158","Protein yippeelike 1, putative",65.69
"11159","hypothetical protein",19.3
"11160","ubiquitin specific protease, putative",24.15
"11161","lipoamide acyltransferase, putative",137.88
"11162","zinc finger, C3HC4 type (RING finger) domain containing protein",23.61
"11163","hypothetical protein",63.13
"11164","hypothetical protein",35.5
"11165","Ras subfamily protein",18.98
"11166","lipase",3.18
"11167","protein kinase domain containing protein",0.07
"11168","hypothetical protein",0.02
"11169","NAD-dependent malic enzyme, putative",265.93
"11170","diphthamide biosynthesis protein 2, putative",21.58
"11171","hypothetical protein",38.55
"11172","minor histocompatibility antigen 13 isoform 1 isoform 11, putative",88.89
"11173","DENN (AEX-3) domain containing protein",33.82
"11174","ribosomal protein L28, putative",231.67
"11175","LETM1like protein",34.52
"11176","hypothetical protein",1.35
"11177","hypothetical protein",214.35
"11178","Ser/Thr phosphatase family superfamily protein",179.59
"11179","glycosyltransferase, group 2 domain containing protein",1.84
"11180","phosphatidylserine synthase",73.07
"11181","hypothetical protein",57.17
"11182","hypothetical protein",216.93
"11183","DNA repair protein",7.63
"11184","archeobacterial metalloproteinaselike 2, putative",4.19
"11185","hypothetical protein",65.87
"11186","hypothetical protein",0.53
"11187","hypothetical protein",323.73
"11188","leucine rich repeat domain containing protein",7.91
"11189","ATPase, AAA domain containing protein",20.57
"11190","ATPbinding cassette, sub-family B (MDR/TAP), member 7, putative",44.22
"11191","MORN repeat variantcontaining protein",70.3
"11192","hypothetical protein",8.61
"11193","zinc knuckle domain containing protein",16.21
"11194","hypothetical protein",32.39
"11195","Rasrelated protein Rab-32, putative",86.71
"11196","hypothetical protein",137.99
"11197","deoxyribosephosphate aldolase",68.76
"11198","RhoGEF domain containing protein",19.19
"11199","Ras GTPase activation domain containing protein",21.58
"11200","Ras GTPase activation domain containing protein",36.45
"11201","cysteine proteinase precursor, putative",95.12
"11202","hypothetical protein",5.91
"11203","Serine/threonine protein phosphatase, putative",105.32
"11204","Actophorin, putative",2526.01
"11205","C2 domain containing protein",80.3
"11206","SUMOactivating enzyme subunit 1, putative",53.8
"11207","hydroxyisourate hydrolase",132.05
"11208","protein involved in vacuole import and degradation, putative",27.82
"11209","hypothetical protein",45.48
"11210","hypothetical protein",2.56
"11211","hypothetical protein",7.84
"11212","hypothetical protein",2.48
"11213","leucine rich repeat domain containing protein",5.63
"11214","Hypothetical protein",4.5
"11215","acetyltransferase, GNAT superfamily protein",67.04
"11216","hypothetical protein",21.25
"11217","aminotransferase, class I/II superfamily protein",420.6
"11218","gamma carbonic anhydrase",305.63
"11219","succinylcoa synthetase beta chain, putative",81.35
"11220","DnaJ domain containing protein",13.53
"11221","phosphate ABC transporter, phosphatebinding protein PstS, putative",2.41
"11222","CUE domain containing protein",10.75
"11223","hypothetical protein",14.02
"11224","SH3 domain containing protein",0.02
"11225","hypothetical protein",13.67
"11226","P protein",23.44
"11227","TRANSMEMBRANE PROTEIN, putative",103.36
"11228","transporter, major facilitator subfamily protein",5.66
"11229","Type-1 histone deacetylase 1, putative",77.03
"11230","histone deacetylase 1, putative",58.74
"11231","peptidase C19 family protein",50.56
"11232","SNARE associated Golgi protein",71.09
"11233","Ubiquitinconjugating enzyme E2 T, putative",28.97
"11234","putative snoRNA binding domain containing protein",33.03
"11235","hypothetical protein",22.58
"11236","dynamin domain containing protein",116.86
"11237","hypothetical protein",12.42
"11238","peptidase M16 inactive domain containing protein",914.58
"11239","adenylyl cyclaseassociated protein",450.47
"11240","Cirhin isoform 3, putative",53.36
"11241","Fbox domain containing protein",24.17
"11242","Gpatch domain containing protein",6.46
"11243","kelch domain containing 1, putative",4.14
"11244","histone chaperone rttp106 family protein",7.86
"11245","hypothetical protein",9.48
"11246","hypothetical protein",50.33
"11247","ATPase/histidine kinase/DNA gyrase B/HSP90 domain containing protein",8.6
"11248","phospholipase, patatin family protein",27.84
"11249","hypothetical protein",3.82
"11250","PH domain containing protein",3.83
"11251","hypothetical protein",10.83
"11252","WD domain, G-beta repeat-containing protein",19.7
"11253","PH domain containing protein",0.54
"11254","hypothetical protein",1.34
"11255","hypothetical protein",1.66
"11256","hypothetical protein",0.01
"11257","Peroxisomal biogenesis factor 11b, putative",26.67
"11258","helicase associated domain containing protein",4.94
"11259","hypothetical protein",1.69
"11260","hypothetical protein",2.99
"11261","hypothetical protein",1.05
"11262","hypothetical protein",0.4
"11263","hypothetical protein",0.09
"11264","vacuolar protein sorting 16, putative",34.33
"11265","Vtype proton ATPase subunit C, putative",167.15
"11266","hypothetical protein",22.17
"11267","AT hook motif domain containing protein",9.51
"11268","dolichyl pyrophosphate glc1man9glcnac2 alpha1,3-glucosyltransferase, putative",31.15
"11269","LIM domain containing protein",29.71
"11270","3'5' exonuclease domain containing protein",21.81
"11271","protein kinase domain containing protein",2.01
"11272","hypothetical protein",14.03
"11273","glycosyltransferase family 28 Cterminal domain containing protein",47.94
"11274","Protein transport protein sec23, putative",282.01
"11275","histidine kinase A family protein",20.03
"11276","phosphoglucomutase 2like 1, putative",0.04
"11277","hypothetical protein",22.88
"11278","zinc finger, NFX1-type containing 1, putative",22.87
"11279","serine/threonine protein kinase",0.96
"11280","serine/threonine protein kinase, putative",0.02
"11281","hypothetical protein",4.24
"11282","SWIB/MDM2 domain containing protein",2.85
"11283","sulfur controller 2, putative",1.03
"11284","hypothetical protein",8.5
"11285","hypothetical protein",47.32
"11286","hypothetical protein",0.05
"11287","hypothetical protein",4.47
"11288","hypothetical protein",0.35
"11289","metallophosphoesterase",0.11
"11290","hypothetical protein",3.93
"11291","hypothetical protein",53.29
"11292","carrier superfamily protein",8.04
"11293","hypothetical protein",5.83
"11294","WD repeat domain 43 isoform 5, putative",57.17
"11295","permeases of the major facilitator superfamily",245.1
"11296","dual specificity phosphatase, catalytic domain containing protein",61.63
"11297","CSA protein",12.3
"11298","transcription factor tfiib repeat domain containing protein",3.21
"11299","hypothetical protein",86.58
"11300","valine-tRNA ligase",82.2
"11301","hypothetical protein",64.57
"11302","hypothetical protein",16.42
"11303","ABC transporter, ATPbinding domain containing protein",0.96
"11304","Filamin repeat domain containing protein",1.98
"11305","OTUlike cysteine protease",12.95
"11306","hypothetical protein",65.32
"11307","hypothetical protein",19.15
"11308","universal stress domain containing protein",75.57
"11309","RAB36 member RAS oncogene family protein",0.06
"11310","WD repeatcontaining protein 1, putative",270.52
"11311","hypothetical protein",0.05
"11312","hypothetical protein",0.03
"11313","zinc finger domain containing protein",9.38
"11314","PAP2 superfamily domain containing protein",10.06
"11315","UBA/TSN domain containing protein",5.32
"11316","PH domain containing protein",0.53
"11317","NLI interacting factor domain containing protein",27.61
"11318","hypothetical protein",3.71
"11319","Gephyrin, putative",133.52
"11320","hypothetical protein",24.09
"11321","seed maturation protein PM34, putative",0.14
"11322","amidohydrolase domain containing protein",13.99
"11323","hypothetical protein",2.25
"11324","hypothetical protein",3.24
"11325","phosphatidylinositol 3- and 4-kinase",55.99
"11326","leucine rich repeat domain containing protein",2.08
"11327","WD domain, G-beta repeat-containing protein",9.8
"11328","phosphoglucomutase 2, putative",56.05
"11329","hypothetical protein",0.08
"11330","acylCoA dehydrogenase domain containing protein",9.42
"11331","protein phosphatase 2C domain containing protein",18.55
"11332","p21activated protein kinase PakA, putative",20.47
"11333","ribonuclease z, putative",2.38
"11334","hypothetical protein",0.21
"11335","hypothetical protein",5
"11336","Filamin repeat domain containing protein",44.64
"11337","hypothetical protein",62.66
"11338","cysteine protease",0.3
"11339","hypothetical protein",0.01
"11340","hypothetical protein",0.01
"11341","hypothetical protein",0.75
"11342","hypothetical protein",3.21
"11343","Ras family protein",0.25
"11344","acetyltransferase, GNAT superfamily protein",25.52
"11345","Ras family protein",4.07
"11346","CMP/dCMP deaminase, zincbinding, putative",15.09
"11347","carbohydrate binding domain cbm49 protein",0.24
"11348","hypothetical protein",24.05
"11349","protein disulfide isomerase associated 4, putative",0.41
"11350","hypothetical protein",1.07
"11351","Rap1 Myb domain containing protein",11.33
"11352","PH domain containing protein",18.96
"11353","Poly(beta-D-mannuronate) lyase, putative",10.54
"11354","hypothetical protein",13.37
"11355","hypothetical protein",1.22
"11356","hypothetical protein",14.86
"11357","enoylCoA hydratase/isomerase family domain containing protein",117.56
"11358","gammaglutamyl hydrolase, putative",46.04
"11359","hypothetical protein",19.1
"11360","hypothetical protein",200.28
"11361","hypothetical protein",0.01
"11362","hypothetical protein",1.44
"11363","phosphoinositide3-kinase, catalytic, gamma polypeptide, putative",0.48
"11364","hypothetical protein",0.28
"11365","hypothetical protein",0.78
"11366","NADPHdependent FMN reductase domain containing protein",8.08
"11367","hypothetical protein",16.73
"11368","centromere protein",5.52
"11369","Gammasecretase subunit APH-1B, putative",32.35
"11370","F-box domain containing protein",15.74
"11371","phenazine biosynthesis protein, PhzF family protein",22.75
"11372","hypothetical protein",0.7
"11373","hypothetical protein",10.67
"11374","HEAT repeat domain containing protein",5.61
"11375","RanBPMrelated, putative",16.4
"11376","acyl carrier protein",894.66
"11377","hypothetical protein",17.3
"11378","zinc finger, c2h2 type domain containing protein",6.82
"11379","hypothetical protein",89.1
"11380","hypothetical protein",10.03
"11381","hypothetical protein",0.02
"11382","hypothetical protein",30.94
"11383","Mss4 protein",31.45
"11384","ankyrin repeat-containing protein",15.05
"11385","hypothetical protein",6.11
"11386","PHDfinger domain containing protein",3.79
"11387","DnaJ domain containing protein",65.97
"11388","alanine aminotransferase, mitochondrial, putative",40.13
"11389","hypothetical protein",156.66
"11390","phenylalanine-tRNA ligase, B5 domain containing protein",155.4
"11391","2acylglycerol O-acyltransferase 2, putative",47.56
"11392","hypothetical protein",1.05
"11393","Fbox domain containing protein",5.65
"11394","WD domain, G-beta repeat-containing protein",7.17
"11395","hypothetical protein",70.2
"11396","hypothetical protein",2.53
"11397","protein kinase domain containing protein",8.04
"11398","phospholipase, patatin family protein",63.92
"11399","K+ channel tetramerisation subfamily protein",62.27
"11400","BSD domain containing protein",76.23
"11401","hypothetical protein",27.3
"11402","methyltransferase domain containing protein",30.52
"11403","hypothetical protein",7.11
"11404","hypothetical protein",38.35
"11405","HemolysinIII related subfamily protein",50.34
"11406","hypothetical protein",13.14
"11407","fatty acid elongase",282.81
"11408","hypothetical protein",26.11
"11409","hypothetical protein",6.5
"11410","hypothetical protein",16.75
"11411","hypothetical protein",5.26
"11412","hypothetical protein",10.73
"11413","hypothetical protein",5.42
"11414","hypothetical protein",3.99
"11415","fumarylacetoacetase",349.18
"11416","leucine rich repeat domain containing protein",5.44
"11417","hypothetical protein",9.26
"11418","Sel1 repeatcontaining protein",4.82
"11419","Sel1 domain containing protein",1.85
"11420","pentatricopeptide repeat domain/PPR repeatcontaining protein",9.9
"11421","hypothetical protein",13.67
"11422","aldose 1epimerase family protein",62.28
"11423","hypothetical protein",18.53
"11424","Protein tyrosine phosphataselike protein, PTPLA",32.1
"11425","cellulase (glycosyl hydrolase family 5) subfamily protein",0.05
"11426","hypothetical protein",0.99
"11427","zinc finger, zz type domain containing protein",7.43
"11428","leucine rich repeat domain containing protein",12.36
"11429","CMF receptor CMFR1, putative",560.71
"11430","clathrin adaptor complex small chain subfamily protein",345.39
"11431","pyridine nucleotidedisulfide oxidoreductase domain containing protein",18.82
"11432","ribosomal protein s27, putative",3919.04
"11433","Smad nuclearinteracting protein 1, putative",33.88
"11434","sulfite reductase (NADPH), putative",89.42
"11435","hypothetical protein",22.45
"11436","hypothetical protein",37.11
"11437","hypothetical protein",3.75
"11438","hypothetical protein",25.18
"11439","glycoside hydrolase family 3 protein",1.56
"11440","betaglucosidase-related glycosidase, putative",1.02
"11441","hypothetical protein",0.01
"11442","variant sh3 domain containing protein",16.95
"11443","Rad9 protein",24.74
"11444","RhoGEF domain containing protein",43.46
"11445","hypothetical protein",649.97
"11446","1-aminocyclopropane-1-carboxylate deaminase",644.09
"11447","RhoGAP domain containing protein",9.11
"11448","hypothetical protein",25.73
"11449","hypothetical protein",2.65
"11450","SET domain containing protein",2.16
"11451","hypothetical protein",9.61
"11452","saccharopine dehydrogenase",529.05
"11453","protein kinase domain containing protein",4.68
"11454","allergen v5/tpx1 family protein",29.18
"11455","hypothetical protein",104.09
"11456","carboxylesterase superfamily protein",4.46
"11457","hypothetical protein",1.33
"11458","hypothetical protein",1.43
"11459","TAP Cterminal subfamily protein",27.03
"11460","hypothetical protein",1.01
"11461","hypothetical protein",29.98
"11462","integral membrane protein duf6 domain containing protein",10.24
"11463","cAMPdependent protein kinase type I-alpha regulatory subunit, putative",78.05
"11464","hypothetical protein",122.96
"11465","hypothetical protein",22.17
"11466","hypothetical protein",8.27
"11467","hypothetical protein",16.52
"11468","Beige/BEACH domain containing protein",5.45
"11469","DR1associated protein 1 (negative cofactor 2 alpha), putative",33.57
"11470","glycosyl hydrolase family 3, C-terminal domain containing protein",39.62
"11471","hypothetical protein",26.21
"11472","tetratricopeptide repeat domain containing protein",1.98
"11473","SH2 domain containing protein",13.54
"11474","hypothetical protein",5.14
"11475","Peptidylprolyl cis-trans isomerase-like 1, putative",36.07
"11476","calciumtransporting P-type ATPase, PMR1-type, putative",95.81
"11477","hypothetical protein",11.39
"11478","von Willebrand factor, type A, putative",19.64
"11479","glycosyltransferase, group 2 domain containing protein",139.11
"11480","Fbox domain containing protein",18.86
"11481","hypothetical protein",6
"11482","PAS, putative",3.68
